Date,Description,Categorie,Montant,Solde
2019-11-25,Cafe Des Arts,Nourriture et boisson,4.52,2047
2019-11-22,Marche Royal,Épicerie,3.64,2090
2019-11-22,Ikea,Ameublement,-1354.95,2112
2019-11-22,Da Giovanni Ori,Nourriture et boisson,18.45,2093
2019-11-21,Salon,Salon de coiffure,13.46,787
2019-11-21,Decorateurs,Non categorise,27.54,757
2019-11-21,Coop Uqam Art,Non categorise,11.21,800
2019-11-21,Cafe Des Arts,Nourriture et boisson,2.25,784
2019-11-19,Uqam Cafeteria,Restauration rapide,17.19,811
2019-11-18,Retrait au guichet,Argent comptant,104,830
2019-11-18,Repro,Non categorise,7.25,934
2019-11-18,Frais d'administration Interac,Frais,2,828
2019-11-18,BNI,Finances,50,942
2019-11-15,Uqam Cafeteria,Restauration rapide,12.59,1309
2019-11-15,Taximo Montreal,Location d'auto et taxi,21.65,1101
2019-11-15,Retrait au guichet,Argent comptant,124,1185
2019-11-15,Paiement des interets,Revenu d'interets,-0.04,218
2019-11-15,Ikea,Ameublement,-587.47,1321
2019-11-15,Frais fixes,Frais,14.95,992
2019-11-15,Frais d'administration Interac,Frais,2,1099
2019-11-15,Coop Uqam Art,Non categorise,56.34,1126
2019-11-15,Coop Uqam Art,Non categorise,3.73,1123
2019-11-15,Communauto,Non categorise,92.25,1007
2019-11-15,Cafe Des Arts,Nourriture et boisson,2.25,1183
2019-11-14,Ikea,Revenu,6.44,735
2019-11-14,Ikea,Revenu,1.47,734
2019-11-13,Ikea,Revenu,12,742
2019-11-12,Resto L'eggsoeu,Nourriture et boisson,47.6,767
2019-11-12,Marche Royal,Épicerie,12.94,754
2019-11-08,Usat_td,Non categorise,1.25,836
2019-11-08,St Houblon,Non categorise,21.16,814
2019-11-07,Paiement autorise sur marge de credit,Transfert,22.59,837
2019-11-07,Internet paiement facture,Factures et services,119.15,867
2019-11-07,Ikea,Revenu,4,863
2019-11-07,Ikea,Revenu,3.91,859
2019-11-06,Ikea,Revenu,4,987
2019-11-05,PayPal Transfer,Transfert,12.65,1075
2019-11-05,Internet paiement facture,Factures et services,84.69,991
2019-11-05,Gouv. Quebec,Taxes,-71.58,1088
2019-11-04,Virement Interac,Transfert,400,1016
2019-11-04,Internet virement debit,Transfert,400,218
2019-11-04,Internet virement credit,Transfert,-400,1416
